?????,????? ????,?????,?? ????,???????,"?""?",????? ?????,????? ????,?????? ????,?????,???? ???,Total
X,14,13,X,X,8,7,6,5,7,4,64
X,14,13,18,X,X,X,X,5,7,4,61
X,14,13,18,X,X,X,6,X,7,4,62
X,14,13,18,X,X,X,6,5,7,X,63
X,14,13,18,X,X,X,6,5,7,4,67
29,X,13,X,X,8,7,X,5,X,X,62
